RunNumber  LumiSec  EventNumber  CRid  MET  MET_phi  MT  MINDPHI  MT2W  lep1_pt  lep1_eta  lep1_phi  lep2_pt  lep2_eta  lep2_phi  passTrackIso  passTau  nSelJets  nBJets  jet1Pt  jet2Pt
run=260424  ls=474  evt=884502984  CR=4  met=370.305389  metPhi=-1.093835  mt=426.076141  minDphi=2.558496  MT2W=499.000000  lep1Pt=124.488083  lep1Eta=0.604419  lep1Phi=2.297205  lep2Pt=21.734074  lep2Eta=1.720814  lep2Phi=-1.911342  PassTrkVeto=1  PassTauVeto=1  nJets=2  nBTags=1  jet1Pt=238.300980  jet2Pt=48.684578 
run=260576  ls=137  evt=282589642  CR=4  met=283.553650  metPhi=-0.653179  mt=312.118439  minDphi=2.668706  MT2W=499.000000  lep1Pt=86.090378  lep1Eta=-0.474537  lep1Phi=2.584908  lep2Pt=57.324863  lep2Eta=-0.718224  lep2Phi=-0.712007  PassTrkVeto=1  PassTauVeto=0  nJets=2  nBTags=1  jet1Pt=133.834183  jet2Pt=125.764610 
run=260627  ls=1424  evt=-1683190733  CR=5  met=281.676636  metPhi=-2.106691  mt=233.540009  minDphi=1.454640  MT2W=131.984619  lep1Pt=102.245979  lep1Eta=-1.124024  lep1Phi=-0.589038  lep2Pt=155.164627  lep2Eta=2.244626  lep2Phi=0.967517  PassTrkVeto=0  PassTauVeto=0  nJets=5  nBTags=1  jet1Pt=111.471375  jet2Pt=97.049301 
run=260627  ls=1581  evt=-1411649277  CR=6  met=255.804214  metPhi=-2.851062  mt=260.570129  minDphi=2.749637  MT2W=211.508408  lep1Pt=68.144981  lep1Eta=-0.670170  lep1Phi=-0.034943  lep2Pt=0.000000  lep2Eta=0.000000  lep2Phi=0.000000  PassTrkVeto=0  PassTauVeto=1  nJets=3  nBTags=1  jet1Pt=113.166809  jet2Pt=45.424389 
run=260627  ls=1582  evt=-1409629040  CR=5  met=318.923401  metPhi=-2.969059  mt=234.753448  minDphi=2.547886  MT2W=144.951645  lep1Pt=53.050728  lep1Eta=-0.373906  lep1Phi=-0.718502  lep2Pt=93.690735  lep2Eta=-1.630495  lep2Phi=3.053450  PassTrkVeto=1  PassTauVeto=1  nJets=3  nBTags=1  jet1Pt=292.283813  jet2Pt=132.122162 
run=260627  ls=1143  evt=2111278032  CR=5  met=263.979248  metPhi=2.320180  mt=369.440094  minDphi=2.596439  MT2W=148.726212  lep1Pt=145.646378  lep1Eta=1.657764  lep1Phi=-0.137268  lep2Pt=11.436143  lep2Eta=0.812953  lep2Phi=2.407936  PassTrkVeto=0  PassTauVeto=1  nJets=5  nBTags=1  jet1Pt=183.360214  jet2Pt=140.782303 
run=260627  ls=1166  evt=-2142054001  CR=6  met=252.408630  metPhi=0.236618  mt=213.260361  minDphi=0.883623  MT2W=165.622894  lep1Pt=46.066887  lep1Eta=-0.264163  lep1Phi=-2.606114  lep2Pt=0.000000  lep2Eta=0.000000  lep2Phi=0.000000  PassTrkVeto=0  PassTauVeto=0  nJets=3  nBTags=2  jet1Pt=328.894012  jet2Pt=115.608231 
run=260627  ls=1208  evt=-2064417826  CR=5  met=309.022980  metPhi=2.199942  mt=396.064545  minDphi=1.833000  MT2W=139.833588  lep1Pt=127.538322  lep1Eta=1.570842  lep1Phi=-1.082624  lep2Pt=31.551350  lep2Eta=1.686154  lep2Phi=-1.692803  PassTrkVeto=1  PassTauVeto=1  nJets=4  nBTags=2  jet1Pt=162.270615  jet2Pt=37.655376 
run=260627  ls=164  evt=255470372  CR=5  met=343.676788  metPhi=0.799778  mt=262.810852  minDphi=2.737955  MT2W=162.855423  lep1Pt=66.264580  lep1Eta=1.236178  lep1Phi=2.913261  lep2Pt=22.372410  lep2Eta=0.114980  lep2Phi=0.612204  PassTrkVeto=1  PassTauVeto=0  nJets=4  nBTags=2  jet1Pt=262.315979  jet2Pt=261.861542 
run=260627  ls=167  evt=262830631  CR=4  met=497.194611  metPhi=-2.832061  mt=201.684723  minDphi=2.895591  MT2W=499.000000  lep1Pt=121.652702  lep1Eta=-0.507172  lep1Phi=2.606143  lep2Pt=67.840302  lep2Eta=0.854326  lep2Phi=-2.285497  PassTrkVeto=1  PassTauVeto=1  nJets=3  nBTags=1  jet1Pt=581.459778  jet2Pt=64.369217 
run=260627  ls=243  evt=415280887  CR=5  met=335.882965  metPhi=2.017843  mt=168.377365  minDphi=2.607982  MT2W=189.481903  lep1Pt=22.631733  lep1Eta=-0.233796  lep1Phi=-1.649800  lep2Pt=18.352591  lep2Eta=1.328581  lep2Phi=2.268812  PassTrkVeto=1  PassTauVeto=1  nJets=5  nBTags=3  jet1Pt=276.519989  jet2Pt=184.536575 
run=260627  ls=306  evt=536572965  CR=5  met=293.870056  metPhi=1.948756  mt=201.762024  minDphi=2.573951  MT2W=217.380127  lep1Pt=47.684921  lep1Eta=-0.092681  lep1Phi=-2.294080  lep2Pt=17.274715  lep2Eta=-2.175355  lep2Phi=0.534677  PassTrkVeto=1  PassTauVeto=0  nJets=4  nBTags=1  jet1Pt=195.872528  jet2Pt=96.783905 
run=260627  ls=506  evt=908473762  CR=5  met=260.465393  metPhi=2.354995  mt=266.740784  minDphi=1.520816  MT2W=174.166458  lep1Pt=107.869751  lep1Eta=-0.947164  lep1Phi=0.514760  lep2Pt=29.106770  lep2Eta=0.240731  lep2Phi=2.563704  PassTrkVeto=1  PassTauVeto=1  nJets=4  nBTags=2  jet1Pt=179.943726  jet2Pt=72.545410 
